treatment,well_nr,sample_nr,date,timepoint,description ,variable,value,std_dev
ABS2,5,SAM_406,2022-01-19,T7,ABS2-21d-15d-FASW,sym_prot(cells/ug),1084.002011,NA
ABS2,6,SAM_407,2022-01-19,T7,ABS2-21d-15d-FASW,sym_prot(cells/ug),987.3116815,NA
ASW,1,SAM_408,2022-01-19,T7,ASW,sym_prot(cells/ug),2034.283287,NA
ASW,2,SAM_409,2022-01-19,T7,ASW,sym_prot(cells/ug),1137.21091,NA
ASW,4,SAM_410,2022-01-19,T7,ASW,sym_prot(cells/ug),2335.16073,NA
ASW,5,SAM_411,2022-01-19,T7,ASW,sym_prot(cells/ug),2831.305309,NA
ASW,6,SAM_412,2022-01-19,T7,ASW,sym_prot(cells/ug),5919.029528,NA
ASW,ASW-1,SAM_398,2022-01-20,T7,ASW,wet_weight(g),0.014,NA
ASW,ASW-2,SAM_399,2022-01-20,T7,ASW,wet_weight(g),0.0174,NA
ASW,ASW-3,NA,2022-01-20,T7,ASW,wet_weight(g),NA,NA
ASW,ASW-4,SAM_400,2022-01-20,T7,ASW,wet_weight(g),0.015,NA
ASW,ASW-5,SAM_401,2022-01-20,T7,ASW,wet_weight(g),0.0223,NA
ASW,ASW-6,SAM_402,2022-01-20,T7,ASW,wet_weight(g),0.0126,NA
ABS1,ABS1-1,SAM_403,2022-01-20,T7,ABS1-21d-21d-FASW,wet_weight(g),0.0064,NA
ABS1,ABS1-2,SAM_404,2022-01-20,T7,ABS1-21d-21d-FASW,wet_weight(g),0.0037,NA
ABS1,ABS1-3,SAM_405,2022-01-20,T7,ABS1-21d-21d-FASW,wet_weight(g),0.0101,NA
ABS1,ABS1-4,NA,2022-01-20,T7,ABS1-21d-21d-FASW,wet_weight(g),NA,NA
ABS1,ABS1-5,SAM_406,2022-01-20,T7,ABS1-21d-21d-FASW,wet_weight(g),0.0029,NA
ABS1,ABS1-6,SAM_407,2022-01-20,T7,ABS1-21d-21d-FASW,wet_weight(g),0.0085,NA
ABS2,ABS2-1,SAM_408,2022-01-20,T7,ABS2-21d-21d-FASW,wet_weight(g),0.0107,NA
ABS2,ABS2-2,SAM_409,2022-01-20,T7,ABS2-21d-21d-FASW,wet_weight(g),0.0181,NA
ABS2,ABS2-3,SAM_410,2022-01-20,T7,ABS2-21d-21d-FASW,wet_weight(g),0.0153,NA
ABS2,ABS2-4,NA,2022-01-20,T7,ABS2-21d-21d-FASW,wet_weight(g),NA,NA
ABS2,ABS2-5,SAM_411,2022-01-20,T7,ABS2-21d-21d-FASW,wet_weight(g),0.0035,NA
ABS2,ABS2-6,SAM_412,2022-01-20,T7,ABS2-21d-21d-FASW,wet_weight(g),0.0077,NA
